block_date;tx_count;success_tx;total_fees_sol;base_fees_sol;priority_fees_sol;avg_cu_per_tx;total_cu_trillions
2026-03-04;78938899;54547569;3367.89;453.75;2914.14;57806;4.5631
2026-03-03;120731719;88029366;6857.12;698.75;6158.37;63115;7.62
2026-03-02;136711972;93514582;7748.35;785.3;6963.05;60791;8.3109
2026-03-01;126386535;88843305;6775.6;730.22;6045.37;62464;7.8947
2026-02-28;137353280;93111130;7628.14;782.63;6845.51;66820;9.1779
2026-02-27;133910087;92745570;8313.5;760.66;7552.84;63515;8.5053
2026-02-26;120515962;86197647;7597.37;692.61;6904.76;60282;7.265
2026-02-25;140083984;99003109;8511.97;792.97;7719.0;59955;8.3987
2026-02-24;125584858;89782247;8582.77;716.71;7866.06;63582;7.985
2026-02-23;125880507;89371317;8249.37;723.69;7525.69;64950;8.1759
2026-02-22;110114489;83068857;7465.81;648.88;6816.93;68467;7.5393
2026-02-21;108341750;81828753;6658.55;632.33;6026.22;69289;7.5069
2026-02-20;116643826;83795725;8050.85;660.84;7390.02;67247;7.8439
2026-02-19;105287641;79157074;7062.77;600.4;6462.37;67541;7.1113
2026-02-18;108786198;79837341;8551.17;617.08;7934.08;64685;7.0369
2026-02-17;114745428;83503634;10196.6;645.26;9551.35;64280;7.3759
2026-02-16;99990028;75298783;6690.13;578.78;6111.35;63499;6.3493
2026-02-15;102288958;76316877;6113.73;597.44;5516.29;64886;6.6371
2026-02-14;94937809;74237546;5608.49;574.8;5033.68;67750;6.4321
2026-02-13;106420627;81494557;7197.41;629.49;6567.92;68613;7.3018
2026-02-12;113609637;85636862;7051.76;669.97;6381.79;66052;7.5042
2026-02-11;120203178;89549541;7639.39;704.01;6935.38;65403;7.8617
2026-02-10;117630350;89956013;7662.81;699.5;6963.31;66238;7.7916
2026-02-09;115072546;87175205;7390.52;686.48;6704.04;65580;7.5465
2026-02-08;111627057;85345798;6949.45;669.75;6279.7;68896;7.6907
2026-02-07;112673971;85151628;7617.7;670.93;6946.77;64637;7.283
2026-02-06;153678237;100688810;10170.34;878.67;9291.66;60259;9.2604
2026-02-05;160032682;103485107;9278.94;909.5;8369.44;56222;8.9974
2026-02-04;134668151;96885499;8365.64;784.0;7581.64;62901;8.4707
2026-02-03;135704307;99747375;8030.91;782.63;7248.28;62898;8.5355
2026-02-02;150621854;110010930;7775.31;864.43;6910.88;60402;9.0978
2026-02-01;135016057;99132677;6951.67;785.45;6166.22;64335;8.6862
2026-01-31;138557574;101040820;8897.9;803.54;8094.36;62170;8.6141
2026-01-30;148345154;108148590;11028.34;851.78;10176.56;62887;9.329
2026-01-29;123779823;97689435;8626.78;730.94;7895.84;65710;8.1336
2026-01-28;113043753;91045065;8589.81;676.07;7913.74;68225;7.7124
2026-01-27;124658904;95663532;10114.99;729.14;9385.86;66577;8.2995
2026-01-26;126845827;98840655;10427.73;740.87;9686.86;67344;8.5424
2026-01-25;124919022;98554200;9304.38;728.57;8575.81;67508;8.433
2026-01-24;106355613;86308559;7079.91;639.14;6440.77;65677;6.9852
2026-01-23;104685454;80553598;5936.78;626.32;5310.46;61692;6.4582
2026-01-22;111365808;84936161;6503.28;659.15;5844.13;65653;7.3115
2026-01-21;111090038;83713889;5993.84;654.72;5339.12;64826;7.2015
2026-01-20;108911581;84088215;6236.67;638.86;5597.81;67144;7.3127
2026-01-19;97534573;78186947;6094.23;581.85;5512.38;69247;6.754
2026-01-18;94302390;75835810;5572.23;570.63;5001.6;68428;6.4529
2026-01-17;92525723;72078583;5242.12;558.74;4683.38;72984;6.7529
2026-01-16;100215326;78352469;8488.18;594.82;7893.36;72582;7.2738
2026-01-15;94805827;75191352;6330.82;570.24;5760.58;63407;6.0114
2026-01-14;97569706;78155172;6241.32;580.99;5660.32;66200;6.4591
2026-01-13;97238396;77952805;6531.87;580.06;5951.82;67505;6.5641
2026-01-12;90997123;72056860;6365.51;545.98;5819.53;64878;5.9037
2026-01-11;74363073;62025453;4473.92;454.11;4019.81;66789;4.9666
2026-01-10;67086693;56469245;4681.29;411.46;4269.82;68216;4.5764
2026-01-09;83545913;67397889;5177.69;499.82;4677.88;66388;5.5465
2026-01-08;88271024;69417065;5409.51;533.57;4875.93;66167;5.8406
2026-01-07;81598038;65546429;5110.52;493.23;4617.29;66660;5.4393
2026-01-06;93486175;69849686;6617.67;553.53;6064.14;68785;6.4304
2026-01-05;82192544;62794860;4837.92;493.98;4343.94;67588;5.5552
2026-01-04;72691435;55106714;4247.4;440.32;3807.08;68052;4.9468
2026-01-03;74408447;55494391;4617.68;446.68;4171.0;70010;5.2093
2026-01-02;74751192;59416263;4612.69;449.25;4163.45;66978;5.0067
2026-01-01;59598713;50957652;3109.64;372.18;2737.46;65200;3.8858
2025-12-31;65094346;54377654;3486.87;400.52;3086.35;65031;4.2331
2025-12-30;70122737;58232109;4085.56;429.2;3656.36;66324;4.6508
2025-12-29;70736297;58329914;4113.95;427.83;3686.12;66273;4.6879
2025-12-28;60084346;52216138;3391.79;371.91;3019.88;66464;3.9935
2025-12-27;59923944;51642339;3127.21;368.01;2759.21;66948;4.0118
2025-12-26;64085802;54278798;2936.07;387.73;2548.34;66658;4.2719
2025-12-25;65717208;56169107;2811.41;399.35;2412.06;70648;4.6428
2025-12-24;67729905;57170572;2980.23;405.46;2574.77;69383;4.6993
2025-12-23;71225669;58685101;3465.98;420.03;3045.95;69355;4.9399
2025-12-22;76995520;62102318;3944.25;447.23;3497.02;68407;5.2671
2025-12-21;59011222;50949963;2881.15;353.53;2527.62;67731;3.9969
2025-12-20;56351773;48390477;2768.64;339.9;2428.75;68979;3.8871
2025-12-19;71792026;58262652;3290.1;423.96;2866.15;67422;4.8404
2025-12-18;73952136;58450020;3297.15;434.72;2862.43;69620;5.1486
2025-12-17;71925834;57930053;3505.77;427.28;3078.49;67011;4.8198
2025-12-16;73124702;58673840;3488.27;434.32;3053.95;69708;5.0974
2025-12-15;77809824;59744064;3726.62;456.7;3269.92;69783;5.4298
2025-12-14;66864278;54382938;2929.29;402.67;2526.62;75306;5.0353
2025-12-13;62428187;50899032;2869.22;377.07;2492.15;75663;4.7235
2025-12-12;74740447;59560916;3918.15;440.15;3477.99;72519;5.4201
2025-12-11;82238889;65798506;4575.28;481.22;4094.06;66390;5.4598
2025-12-10;81461615;64637675;4189.46;482.32;3707.13;67547;5.5025
2025-12-09;81682800;65867995;4386.3;483.02;3903.27;70891;5.7906
2025-12-08;78152328;63098351;4079.46;461.99;3617.47;70831;5.5356
2025-12-07;78280376;61510708;3490.23;461.68;3028.56;68472;5.36
2025-12-06;71219579;59230785;3556.53;425.53;3131.0;68174;4.8553
2025-12-05;77221198;63778809;3702.15;456.48;3245.67;65263;5.0397
2025-12-04;77960465;64572678;5652.85;462.12;5190.73;65115;5.0764
