day;program_id;tx_count;success_count;total_fees_sol;priority_fees_sol;total_cu;avg_cu_consumed;fee_per_cu_lamports
2026-03-05;ComputeBudget111111111111111111111111111111;47391010;47391010;2465.173;2465.173;3373956791528;71194;15.3713
2026-03-05;11111111111111111111111111111111;8167064;8167064;952.7069;952.7069;209201523161;25615;12.5229
2026-03-05;jesterKqzZ7hWfNLnUDeB8WtMrm7a44g2vSyhs7WmyT;4457;4457;31.0727;31.0727;736164186;165170;40.7673
2026-03-05;ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL;3166767;3166767;30.5805;30.5805;330376569526;104326;0.1152
2026-03-05;9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;4860256;4860256;25.8663;25.8663;2325420332;478;11.2459
2026-03-05;BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;1578113;1578113;13.3965;13.3965;763395724;484;19.4523
2026-03-05;TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA;766662;766662;8.8631;8.8631;6903641623;9005;1.6544
2026-03-05;routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;20756;20756;3.9508;3.9508;2719707955;131032;2.1292
2026-03-05;6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P;66785;66785;2.3177;2.3177;5626402744;84247;0.5972
2026-03-05;9i7QdbBHx7fjLAAaFfcDRgkdS4oNfKv8duzyE27a1kJ6;171;171;2.0515;2.0515;24794816;144999;91.8541
2026-03-05;TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb;206185;206185;2.0452;2.0452;2790195978;13532;1.7734
2026-03-05;Ed25519SigVerify111111111111111111111111111;173532;173532;1.8603;1.8603;2155512600;12421;0.8977
2026-03-05;BGUMAp9Gq7iTEuizy4pqaxsTyUCBK68MDfK752saRPUY;205566;205566;1.3051;1.3051;15695458665;76352;0.0926
2026-03-05;4pjbtQCpaXFrmT7wcfuCQnAWLCUhRuK9CKQyvou1F5xo;62793;62793;1.2559;1.2559;10025737809;159663;0.1339
2026-03-05;Bgo4vNe3vxRv37j8mmQarJo8vbjHEKgkhJDZzxiizBid;2394;2394;1.0904;1.0904;349708272;146077;3.1093
2026-03-05;MemoSq4gqABAXKb96qnH8TysNcWxMyWCqXgDLGmfcHr;40133;40133;1.0862;1.0862;2318523775;57771;0.6083
2026-03-05;BPFLoaderUpgradeab1e11111111111111111111111;196904;196904;1.0792;1.0792;486542580;2471;2.23
2026-03-05;pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA;32780;32780;0.857;0.857;4554235488;138933;0.2458
2026-03-05;KeccakSecp256k11111111111111111111111111111;31152;31152;0.7946;0.7946;901849156;28950;0.9017
2026-03-05;vBoNdEvzMrSai7is21XgVYik65mqtaKXuSdMBJ1xkW4;134298;134298;0.675;0.675;9558967622;71177;0.0708
2026-03-05;Q72w4coozA552keKDdeeh2EyQw32qfMFsHPu6cbatom;128349;128349;0.6417;0.6417;4492215;35;142.8571
2026-03-05;DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;30014;30014;0.5788;0.5788;233990515;7796;2.4736
2026-03-05;Stake11111111111111111111111111111111111111;1877;1877;0.4947;0.4947;24944747;13290;32.7132
2026-03-05;phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;94155;94155;0.4708;0.4708;28896868400;306907;1.3591
2026-03-05;45fCmmKfFjZ1bYu7zHyUPYsfPauQAD1RVinUmBp8DbSb;13542;13542;0.3703;0.3703;1183011266;87359;0.3399
2026-03-05;SKRskrmtL83pcL4YqLWt6iPefDqwXQWHSw9S9vz94BZ;43168;43168;0.3203;0.3203;1553064509;35977;0.2075
2026-03-05;HDwcJBJXjL9FpJ7UBsYBtaDjsBUhuLCUYoz3zr8SWWaQ;16490;16490;0.3118;0.3118;6526046720;395758;0.0506
2026-03-05;MEXkeo4BPUCZuEJ4idUUwMPu4qvc9nkqtLn3yAyZLxg;5157;5157;0.2907;0.2907;561612379;108903;0.4725
2026-03-05;FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;57851;57851;0.2893;0.2893;5900862241;102001;0.0515
2026-03-05;8jaLKWLJAj5jVCZbxpe3zRUvLB3LD48MRtaQ2AjfCfxa;49895;49895;0.2495;0.2495;3846742503;77097;0.0721
2026-03-05;9VX8EKBg6vM6tA68xaDsPkbrx26XConZjkQmhVApUptc;40419;40419;0.2432;0.2432;21799978;539;11.1609
2026-03-05;4R3gSG8BpU4t19KYj8CfnbtRpnT8gtk4dvTHxVRwc2r7;46152;46152;0.2308;0.2308;3139123151;68017;0.0778
2026-03-05;T1pyyaTNZsKv2WcRAB8oVnk93mLJw2XzjtVYqCsaHqt;38929;38929;0.1948;0.1948;2283676359;58663;0.0854
2026-03-05;AddressLookupTab1e1111111111111111111111111;28458;28458;0.19;0.19;249844963;8779;0.8907
2026-03-05;PdMDrKEMaX8q7CCJb7NvUCxerBCcsFUa4LjBEynTtEd;31331;31331;0.188;0.188;2023360863;64580;0.0932
2026-03-05;G3z6yQqLP1q2JqFqEwND6rTX3vsnzzr3Vv16pMoSdkcx;1897;1897;0.1811;0.1811;21559460;11365;8.2246
2026-03-05;D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;16618;16618;0.1662;0.1662;52497904;3159;3.1803
2026-03-05;AEyodoBDx5vgvEpWLUbNRMYHrSJ113uW2A8avE3GEB7X;3405;3405;0.1612;0.1612;157691509;46312;1.4428
2026-03-05;JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;10858;10858;0.157;0.157;2432953702;224070;0.0753
2026-03-05;pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;28088;28088;0.1561;0.1561;2224462669;79196;0.0842
