day;program_id;tx_count;success_count;total_fees_sol;priority_fees_sol;total_cu;avg_cu_consumed;fee_per_cu_lamports
2026-02-05;ComputeBudget111111111111111111111111111111;93122508;64267715;5655.2402;5189.6276;6606400003629;70943;11.7992
2026-02-05;11111111111111111111111111111111;24988408;15303139;3122.9825;2998.0405;1481945597662;59305;10.6735
2026-02-05;9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;27506780;13942594;152.6421;15.1082;6928498869;252;112.8834
2026-02-05;StenDH7EmnXdcniwsXgTWtN1ogfQksZ1C5UGBr7dNBG;169521;8617;92.5826;91.735;24519177442;144638;4.342
2026-02-05;BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;5437624;2313163;59.0226;31.8345;1298367635;239;136.4791
2026-02-05;ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL;4344865;3941360;44.9994;23.2751;593632710604;136629;0.1113
2026-02-05;KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;29189;9987;30.7265;30.5806;7327324579;251030;4.6168
2026-02-05;LiMoM9rMhrdYrfzUCxQppvxCSG1FcrUK9G8uLq4A1GF;22697;5668;16.647;16.5335;7706630275;339544;7.3684
2026-02-05;King7ki4SKMBPb3iupnQwTyjsq294jaXsgLmJo8cb7T;131980;13836;16.0997;15.4398;5727138991;43394;2.0743
2026-02-05;TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA;1072069;1028525;13.6507;8.2904;12450275454;11613;1.6643
2026-02-05;pudgeNoz4YrkpwZr8dYmhkHJz87yRHsJeyxZhQChetj;112968;14700;7.7029;7.1381;18011964129;159443;0.6311
2026-02-05;jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS;1739;586;6.7588;6.7501;530527919;305076;17.9754
2026-02-05;G2E4eoenFMirpFKRfHNo2koDP7mrhnNWVwxyHASSpjQD;13421;27;6.3441;6.277;2150508299;160235;3.7008
2026-02-05;MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA;26079;22236;4.6436;4.5132;9770135985;374636;0.5478
2026-02-05;6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P;163054;111718;3.8681;3.0528;9654314385;59209;0.5367
2026-02-05;JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;235215;59708;3.7888;2.6128;28444618327;120930;0.4403
2026-02-05;pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA;72750;67560;3.5386;3.1749;7115625146;97809;0.5329
2026-02-05;TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb;332679;320666;3.1911;1.5277;4522031988;13593;1.6932
2026-02-05;HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;17386;12294;3.0495;2.9625;4298846927;247259;0.9809
2026-02-05;CroWg74XNDF8UMnAZVbXx49iVj7iJ7b4CsqTCVWF7aK;2613;2;2.7077;2.6946;276413830;105784;17.9489
2026-02-05;Ed25519SigVerify111111111111111111111111111;205219;203558;2.1144;1.0883;4545449281;22149;0.8287
2026-02-05;routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;59071;50424;2.0113;1.716;7853150535;132944;0.301
2026-02-05;MemoSq4gqABAXKb96qnH8TysNcWxMyWCqXgDLGmfcHr;81096;61274;2.0058;1.6003;7476155867;92189;0.5138
2026-02-05;So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo;3143;532;1.5758;1.5601;656843382;208986;2.4196
2026-02-05;2M86GVGn3AHgAX9afQrYeSEETJBs9qmDtxb3f6kEa87H;25651;649;1.5274;1.3992;3490488450;136076;1.1627
2026-02-05;675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;10918;10495;1.4988;1.4442;318275722;29151;4.9858
2026-02-05;BGUMAp9Gq7iTEuizy4pqaxsTyUCBK68MDfK752saRPUY;221737;221548;1.3469;0.2383;14123093303;63693;0.0976
2026-02-05;DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;50437;50437;0.9826;0.7304;407877221;8087;2.4092
2026-02-05;KeccakSecp256k11111111111111111111111111111;38804;38450;0.9508;0.7568;1353103724;34870;0.8132
2026-02-05;BPFLoaderUpgradeab1e11111111111111111111111;174532;174530;0.902;0.0293;426298440;2443;2.1168
2026-02-05;4pjbtQCpaXFrmT7wcfuCQnAWLCUhRuK9CKQyvou1F5xo;37106;37106;0.7421;0.5566;5546761672;149484;0.1424
2026-02-05;brzp8fNvHCBRi8UcCnTQUgQ2bQ4JnJTJtCvPzpKf2ty;965;761;0.6763;0.6715;236854634;245445;2.9652
2026-02-05;Ceu4aCcSV624aRGUoWt2pPd5YuLZM4gyos7kyrPrpGG1;106748;101050;0.5818;0.0481;9628883203;90202;0.0933
2026-02-05;MEXkeo4BPUCZuEJ4idUUwMPu4qvc9nkqtLn3yAyZLxg;8793;8599;0.5759;0.5319;1017714882;115741;0.5192
2026-02-05;7SyiQ664tWYCyWyKDftkfLspE85pJrUR4kJQwb6brYb9;47168;47168;0.4755;0.2396;116627232;2473;4.1043
2026-02-05;9GCBb4NsSDRuEkkGfQkN37oppmMVPops5sXDWhAKAvQQ;4797;6;0.4688;0.4448;582077661;121342;0.8406
2026-02-05;HDwcJBJXjL9FpJ7UBsYBtaDjsBUhuLCUYoz3zr8SWWaQ;27203;26546;0.4627;0.3267;10313365298;379126;0.9205
2026-02-05;LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;17463;16613;0.41;0.3227;660356184;37815;0.7339
2026-02-05;phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;78800;78786;0.394;0;20119081462;255318;0.0971
2026-02-05;T1pyyaTNZsKv2WcRAB8oVnk93mLJw2XzjtVYqCsaHqt;65082;65082;0.3259;0.0005;3811717056;58568;0.0855
2026-02-05;FDF8AxHB8UK7RS6xay6aBvwS3h7kez9gozqz14JyfKsg;1174;1173;0.2766;0.2707;32966301;28080;8.3316
2026-02-05;riptK81hDxhe5pW5jSzSM9iRA8azgEgLJ4dXkPtBS7j;54478;52804;0.2724;0;18163666;333;19.0855
2026-02-05;1avaAUcjccXCjSZzwUvB2gS3DzkkieV2Mw8CjdN65uu;4833;4833;0.2696;0.2454;84326476;17448;3.0081
2026-02-05;3AQz4t3ShixZWw5vhvkAindHhMco3s12gxgvGuMeh2Yg;43129;3438;0.2395;0.0239;8785538416;203704;0.0349
2026-02-05;pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;36779;36768;0.2163;0.0324;2705435590;73559;0.1082
2026-02-05;F2rSwpfYCTWiBGmPTkk2zbMMiF6A1wRGjBUB1XxzoGBf;43217;43217;0.2161;0;790272189;18286;0.2744
2026-02-05;cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;5701;4232;0.2063;0.1778;315971830;55424;1.0195
2026-02-05;FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;40949;39372;0.2047;0;3697682275;90300;0.1618
2026-02-05;4R3gSG8BpU4t19KYj8CfnbtRpnT8gtk4dvTHxVRwc2r7;40925;40925;0.2046;0;3168375355;77419;0.0682
2026-02-05;CRSeeBqjDnm3UPefJ9gxrtngTsnQRhEJiTA345Q83X3v;3163;3163;0.2009;0.1851;51740141;16358;3.6236
2026-02-05;FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;5170;4669;0.1967;0.1708;761588184;147309;0.4229
2026-02-05;AddressLookupTab1e1111111111111111111111111;26191;26023;0.1904;0.0594;235712634;9000;1.0395
2026-02-05;FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;2311;2310;0.1863;0.1747;206850412;89507;0.9808
2026-02-05;PdMDrKEMaX8q7CCJb7NvUCxerBCcsFUa4LjBEynTtEd;29481;29475;0.1769;0.0295;1833513523;62193;0.0981
2026-02-05;3Wn9MScovnLzVB4B8DxtchiPrX7jSanSgvUqSQfBM3MW;5321;2046;0.1737;0.1471;156709506;29451;22.4648
