epoch;jito_total_mev_lamports;jito_total_mev_sol;jito_stake_weight_lamports;jito_mev_reward_per_lamport
390;168139;0.000168;1663859579300303700;1.0105359976994383e-13
391;249164;0.000249;1707567583147595895;1.4591750420836093e-13
392;164692;0.000165;1716005796680379127;9.597403477225859e-14
393;97646;9.8e-05;1106609847467526570;8.823886776668632e-14
394;146936;0.000147;1795368088570021727;8.184171309240094e-14
395;147004;0.000147;1864472842761843801;7.884480622535804e-14
397;137995;0.000138;1613133940997962456;8.554466339889274e-14
398;143172;0.000143;1925363401565679897;7.43610270578398e-14
399;1824990;0.001825;592479875893508286;3.0802565188357924e-12
400;97007233;0.097007;2063825672162248194;4.7003598369995344e-11
401;2053343;0.002053;1850525290335537052;1.109600074488951e-12
402;22303771;0.022304;2191459733512320482;1.0177586500415891e-11
403;1602746074;1.602746;2206725639968332087;7.263005626848113e-10
404;2345750940;2.345751;1802108276803985433;1.3016703658673371e-09
405;4923678992;4.923679;220300868129469018;2.2349793869656448e-08
407;2953764437;2.953764;1878455027970359118;1.5724435203495373e-09
408;3061870095;3.06187;1813245211843509768;1.6886133629367343e-09
409;3497121029;3.497121;2078704601712135945;1.6823559375004886e-09
410;3428246019;3.428246;2034941498375222783;1.6846902093928726e-09
411;5391856126;5.391856;2087495880090946299;2.582930187993996e-09
412;3213071009;3.213071;761796830363229318;4.21775318685428e-09
413;3169283960;3.169284;37497416338243986;8.45200621667263e-08
414;6838333786;6.838334;44225902447550606;1.5462282073519863e-07
415;5132175790;5.132176;44020477811718176;1.16586099132114e-07
417;6256436249;6.256436;54746555226114163;1.1427999849779907e-07
418;6044177718;6.044178;54376451183731041;1.1115432483038477e-07
419;5852041438;5.852041;60337826171284407;9.698793956195038e-08
420;6591126321;6.591126;61802281270254730;1.066485926656609e-07
421;47312946725;47.312947;62038878306825329;7.626338195704414e-07
422;9142986187;9.142986;63186704685918510;1.4469794290502955e-07
423;15832452606;15.832453;63773039054034278;2.4826247644534103e-07
424;7846607121;7.846607;64023035662942324;1.2255912328664786e-07
425;7656084668;7.656085;75142463050546494;1.0188759267645963e-07
426;12156790133;12.15679;77165165187874449;1.5754246237148327e-07
427;8729881319;8.729881;77153731662815713;1.1314917802229094e-07
428;10490331248;10.490331;78867787145811339;1.3301160876500057e-07
429;11615075674;11.615076;80247582314741365;1.44740506055923e-07
430;18021749304;18.021749;82773782566510501;2.177229159428487e-07
431;10993192770;10.993193;85826101814592164;1.2808682367688446e-07
432;16925900828;16.925901;85951165882947176;1.9692462172125255e-07
433;11925590472;11.92559;88905751741608643;1.341374459850467e-07
434;13505176484;13.505176;89903482221335154;1.5021861389919626e-07
435;16556970994;16.556971;94740104072984655;1.7476200977407683e-07
436;13033592576;13.033593;91972916856903136;1.4171120174734077e-07
437;15786680781;15.786681;94903566135428314;1.6634444229916768e-07
