epoch;total_txns;total_vote_txns;total_non_vote_txns;total_success_txns;total_failed_txns;total_cu;total_all_fees_sol;total_base_fees_sol;total_priority_fees_sol;total_jito_tips_sol;total_slots;total_skipped_slots;total_packed_slots;total_jito_transactions;total_priority_txns;validator_count
800;1711406;1246696;464710;1582038;128857;42633632062;30083.685267;7076.35208;24467.792107;28719.053981;864004;3482;860522;81098463;251837135;1097
802;1668517;1205749;462768;1536108;131872;42983939588;22913.279018;6980.63627;17335.657548;23491.005538;864002;3354;860648;89739300;246599574;1093
810;1459984;1019229;440755;1329997;129508;38950703797;27823.920618;6750.878205;22571.067023;29850.920601;864006;1276;862730;91405784;259784070;998
811;1471959;990012;481947;1330011;141494;42118020222;32006.704107;6921.6038;26732.228087;34655.630551;864002;1628;862374;93098682;289034680;978
812;1446477;1000173;446304;1332170;113811;39824875427;27788.369553;6754.60609;22557.549313;28987.11875;864006;1596;862410;83491479;265663395;991
813;1511729;1009240;502489;1376014;135219;43707875406;32502.363143;6984.094375;27299.036623;35039.156135;864007;816;863191;84834095;314315237;993
814;1508486;1006518;501968;1373956;134065;43143565876;35239.323261;6978.16538;29979.460791;36405.415966;864002;1304;862698;89913368;302999076;994
815;1525260;1019519;505741;1395283;129516;43357303167;32959.807145;6997.90984;27600.697775;34944.936355;864002;2044;861958;98370750;284566252;998
816;1507733;1014662;493071;1395512;111728;43130222835;27352.334535;6976.89696;21982.977215;27132.609012;864002;2234;861768;95034672;275757862;984
817;1522888;1018827;504061;1396053;126359;44691338761;30277.599921;6976.806945;24932.094366;33977.10334;864022;920;863102;98136985;285277241;993
818;1518135;999808;518327;1378741;138918;46226749929;40333.605457;7012.6798;35039.779837;46371.696987;864028;2962;861066;101660196;300260596;986
819;1529844;1000947;528897;1385843;143540;43009150280;42163.788681;7112.38562;36835.803421;48826.363345;864148;1256;862892;107603062;310457688;987
820;1477296;1009109;468187;1367203;109614;41293215595;26578.742257;6847.032975;21385.739127;27059.309059;864232;760;863472;87569679;281475099;992
821;1529864;995905;533959;1398380;131023;44582036547;35105.500238;7136.246315;29684.415373;38070.189145;864128;1088;863040;109703824;300800879;984
822;1555516;1010867;544649;1419894;135135;47494667390;33310.471797;7139.89385;27936.444447;34996.615916;864256;2118;862138;106525012;310277074;997
823;1521981;1019548;502433;1395764;125742;44819089084;26546.148796;6962.86517;21251.492321;25999.482655;864336;1640;862696;94154915;295343172;998
824;1555433;1042700;512733;1415816;139119;45820062212;27050.112574;7069.361085;21692.656094;26820.61078;864306;1970;862336;93947476;302403682;1001
825;1564576;1034141;530435;1432448;131630;44662008210;30261.461207;7193.079855;24877.248762;30383.08759;864287;1612;862675;97755201;318926397;988
826;1548751;1052418;496333;1420424;127817;45578497837;28733.51434;7010.134765;23417.612975;27082.204838;864194;1226;862968;86658616;298925737;1006
