epoch;total_mev_earned;total_mev_to_validator;total_mev_to_stakers;total_mev_to_jito_block_engine;total_mev_to_jito_tip_router;total_validator_priority_fees;total_validator_signature_fees;total_block_rewards;total_total_inflation_reward;inflation_rate;epochs_per_year;avg_compound_overall_apy;avg_total_compound_inflation_apy;avg_total_compound_mev_apy;avg_total_compound_block_rewards_apy;avg_delegator_compound_total_apy;avg_validator_compound_total_apy;total_active_validators;total_active_stake;sol_price_usd;avg_cu_per_block;total_cu;avg_cu_per_user_tx;avg_priority_fee_per_10m_cu;avg_mev_per_10m_cu;total_user_tx;total_vote_tx;total_blocks_produced;min_block_time_calendar;max_block_time_calendar;elapsed_time_minutes
553;1542.19;257.34128;1284.84871;81.16789;;3857.89268;1669.03978;5524.73337;169027.41434;;159.18;7.36021416;7.06834556;0.06369347;0.22817513;4.89526039;2.36277524;1955;385415325;104.55;30314241;11806093707758;89280;0.00327;0.00131;132237211;520459372;389457;2023-12-30T13:06:57;2024-01-01T20:23:53;3317
554;3261.98;498.28196;2763.69804;171.68316;;4188.06463;1379.00413;5557.75382;169152.87068;;159.46;7.42947826;7.06532922;0.13468058;0.22946845;4.95968807;2.36783641;1951;386206883;105.1;35114614;13774866433132;103032;0.00304;0.00237;133701255;405805953;392283;2024-01-01T20:23:54;2024-01-04T03:12:33;3288
555;3157.67;497.81184;2659.85816;166.19316;;3553.25845;1413.39366;4964.66399;169263.99199;;159.12;7.56943785;7.23100646;0.1315699;0.20686149;5.06907516;2.39366281;1938;381889730;99.62;34189365;13407838299640;100107;0.00265;0.00236;133934238;421244189;392164;2024-01-04T03:12:34;2024-01-06T10:27:51;3315
556;1940.4;336.72858;1603.67142;102.12632;;3237.49206;1495.60251;4730.95071;168063.15;;159.33;7.37958663;7.09851772;0.08175048;0.19931843;4.86075558;2.41404008;1938;378169374;93.78;33855449;13212021484668;96826;0.00245;0.00147;136450651;453695669;390248;2024-01-06T10:27:53;2024-01-08T17:18:05;3290
557;;0.0;0.0;0.0;;2880.54566;1329.23353;4207.9436;169004.87447;;161.18;7.39530421;7.21502115;0.0;0.18028306;4.87708684;2.41016264;1932;376197923;99.82;33210174;13203800621344;108126;0.00218;;122114601;404507105;397583;2024-01-08T17:18:08;2024-01-10T22:15:36;3177
558;3942.21;449.34829;3492.86171;207.48474;;2601.27395;1308.65862;3908.10193;168703.16102;;163.16;7.55792141;7.2234779;0.1679483;0.16649521;5.07227173;2.37837591;1922;382980983;97.45;30529282;12362680336220;113479;0.0021;0.00319;108942797;409912070;404945;2024-01-10T22:15:38;2024-01-13T02:23:13;3127
559;2173.49;318.39613;1855.09387;114.39421;;2801.50951;1327.30931;4126.2219;168815.13459;;163.87;7.57033302;7.29939572;0.09347721;0.17746008;5.03997275;2.4204802;1911;381024570;94.65;32582870;13139400923995;116783;0.00213;0.00166;112512482;413811862;403261;2024-01-13T02:23:19;2024-01-15T07:14:52;3171
560;3009.99;526.56467;2483.42532;158.42053;;4236.87151;1260.32548;5494.27173;168718.78712;;164.75;7.47016568;7.10399303;0.12960279;0.23656987;4.90374733;2.46144602;1897;382637428;97.99;33909514;13764041326430;110770;0.00308;0.00219;124258854;371098510;405905;2024-01-15T07:14:54;2024-01-17T11:39:32;3144
561;3490.12;581.56052;2908.55948;183.69053;;4244.55287;1278.28662;5519.30107;168159.52828;;167.34;7.5727122;7.18129974;0.15162756;0.23978491;4.99221157;2.47369592;1896;385188209;96.66;35558897;14701612884271;121771;0.00289;0.00238;120731771;383369138;413444;2024-01-17T11:39:38;2024-01-19T13:51:03;3011
562;4679.36;937.37398;3741.98602;246.28211;;4668.96727;1285.83316;5951.20041;167711.51286;;169.63;7.94746314;7.48169739;0.20502076;0.26074498;5.28354093;2.54955042;1901;387166140;92.45;37589680;15652117496284;122185;0.00298;0.00299;128099697;377576533;416394;2024-01-19T13:51:09;2024-01-21T15:44:38;2993
