account,name,activeStake,softwareClient
HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,"Helius",14208048209638374,JitoLabs
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,"Figment",13244694058931150,Rakurai
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,"binance staking",13040563526777552,AgaveBam
JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,"Jupiter",12231279657971244,Harmonic
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,"Ledger by Figment",8581617939396233,JitoLabs
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,"Everstake",7374017014841648,Frankendancer Rev
E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,"Bitwise Onchain Solutions",7067126370693613,JitoLabs
DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,"Galaxy",6986991535736896,Frankendancer Vanilla
JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,"Forward Industries",6852677446792376,Frankendancer Rev
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,"Staking Facilities | MEV 🔥",6609306872209821,Frankendancer
5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,"Kiln1",6521660066467204,JitoLabs
CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,"Kraken 2",6197863600887530,HarmonicAgave
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,"",5074016980322560,Frankendancer
5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,"Upbit Staking",4920483592626200,Agave
9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,"",4620132550854544,JitoLabs
EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,"",3952225741865605,HarmonicAgave
FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,"",3935902528862135,HarmonicAgave
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,"",3885080964592338,HarmonicAgave
J6etcxDdYjPHrtyvDXrbCkx3q9W1UjMj1vy1jBFPJEbK,"",3867712407730318,HarmonicAgave
5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,"",3817465669789989,HarmonicAgave
A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,"",3744508969534400,HarmonicAgave
BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,"",3739381388683944,JitoLabs
5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,"",3598006063660020,AgaveBam
Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,"",3593058711838422,Harmonic
DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,"P2P.org",3577797678362095,JitoLabs
9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,"",3519670859014900,HarmonicAgave
