account,name,activeStake,softwareClient
HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,"Helius",14520020647687472,JitoLabs
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,"Figment",13235593441070384,Rakurai
JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,"Jupiter",12349765306579088,Harmonic
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,"binance staking",11662017142232982,AgaveBam
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,"Ledger by Figment",8536286343044223,JitoLabs
5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,"Kiln1",7778179805066579,JitoLabs
JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,"Forward Industries",7605541742046587,Frankendancer Rev
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,"Everstake",7393483902233780,Frankendancer Rev
DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,"Galaxy",6989123496736462,Frankendancer Vanilla
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,"Staking Facilities | MEV 🔥",6829028999623390,Frankendancer
E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,"Bitwise Onchain Solutions",6702049591541160,JitoLabs
CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,"Kraken 2",6143855711408669,HarmonicAgave
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,"",5074016980322560,Frankendancer
5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,"Upbit Staking",4844483939623960,Agave
9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,"",4613176837095036,JitoLabs
EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,"",3949191520442379,HarmonicAgave
FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,"",3872300199600701,HarmonicAgave
J6etcxDdYjPHrtyvDXrbCkx3q9W1UjMj1vy1jBFPJEbK,"",3861208918411776,HarmonicAgave
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,"",3847238898366128,HarmonicAgave
5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,"",3792601360435614,HarmonicAgave
9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,"",3737282100524642,HarmonicAgave
BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,"",3733926385775673,JitoLabs
A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,"",3712221346195708,HarmonicAgave
DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,"P2P.org",3676785984212378,JitoLabs
5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,"",3598006063660020,AgaveBam
Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,"",3561733844834264,Harmonic
shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,"blueshift",3307342811803829,JitoLabs
FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,"Coinbase 04",3275558795873678,HarmonicAgave
