Name,Vote Account,Identity,REV,Inflation,MEV,Tx,User Tx,Vote Tx,Pri Fees,Sig Fees,Rewards,Stake,Votes,Latency,CU,Leader Slots
LI.FI,LiFiDDUsf6GCRHwkHzW4YnR1QErj99MAU9diwb8TvWk,LiFiDJwJjW98MB8wxcnXpafKYsuz1hwpUkuszkERiX6,1.3858471499999998,1.37157125,0.0022833,1211,444,767,0.0088538,0.0031503,0.0119926,4310,53573,1.013,30312982,8
Superteam Brazil,STBRgoYTmMwukhcBVjGpg3A4R9HBsrWo82wJgiBukaW,BRAZAtTTzR2Es8c98hJvcngerTEyRGSdgkHU59n4A6GT,1.376964,1.3457725,0.0007305,1294,563,731,0.0269885,0.0034819,0.030461,4224,101585,1.13,35948295,4
Custodian 💼 0% fees +MEV!,5ni6KoVM62cRJNfFFKGdiyDfYbKWWAGZ21cfGZcj1y66,CuStTdKU5nWev5YKxMHyFjiHYG2CnjZ3rrPa8r1G2hTw,1.2658337,1.2585175,0,1121,338,783,0.0043762,0.0029512,0.0073162,3949,107126,1.013,21515008,4
DAIN,AEtdq4CwtuktCEUWLLpRTNPBZs6tr7BBqxkHJ1DjAttR,3iQqh65Gby53aaYUF8ocoiEyhBs4aoe7BTYYWvy1c9dF,0.9736783,0.9557575,0.0007504,1351,570,781,0.0136904,0.0034919,0.0171704,2999,106403,1.023,31031061,4
Majestysol | 🔥 0% Fee + ⚡ MEV,5AC692spnjbegP7ttCXJEzUe8S81sLYsqJd8Ae6Zv1xU,AS4i8EXUZnPbmNT5ZXmoTEbrXQrbFoReiWwwFB43Ds5z,0.9463733,0.938885,0.0000029,1017,245,772,0.0048341,0.0026588,0.0074854,2946,107127,1.013,16984153,4
Serhio911,FXcZJuQwkcQpw2YrkTaxWJ6rnw4P12wvULttviMRn655,DiFeTctQSaNczJNmZ5121kYqLaBe9wDpM9sjCzTELJLE,0.8327268,0.8136575,0,1213,492,721,0.015884,0.0031958,0.0190693,2553,26317,1.04,32819213,16
EAC,Gar9q7Ru2sKfVxFnR5xmV8GieJeUSTp7Uf3ixai9BQKS,2bpfa8JbFfZUGUsedDsemu6vQUxbhcEM8ALSH3PgXd2d,0.7984012,0.773305,0.0000065,1473,697,775,0.0212743,0.0038269,0.0250897,2427,35488,1.022,44720610,12
Quantum Crypto,QUANT7qKUEW4PS4eP9jq4K35rDHpgWkWcgjbW1CwnGJ,Atom7LRkdXj6MBoWJPgjaetrCMrgB9nnkQBYXTWE8Z3S,0.7868733000000001,0.7639575000000001,0.0017472,1183,416,767,0.0179859,0.0031952,0.0211686,2398,35732,1.012,25554338,12
,reyYoUdFgtDLxAWW1hyn5xk2PHstA3j8zUrerQi9Ayq,ark1hdnnfmusE24wGHkyVG1gdRCqfmXs9drasDAdABZ,0.77252115,0.74961625,0.0030405,1438,648,789,0.016111,0.0037684,0.0198644,2352,26791,1.012,36562047,16
UZB Validator,QodirbUG8AZQBWpHhPJPfjj1xg4AaQUZCVVtwT8YfPi,UZBmptMjMSQEPKm4WyUkJeAuvZSqTuNK3cQCKFqJcXT,0.6883889666666667,0.6629866666666667,0.0000322,1369,592,777,0.0217945,0.0035906,0.0253701,2080,18072,1.509,39135386,12
SelfLiquidity,F1wBgGku883aGGCQYMQFR4PmdJ7faej3qKSk8xGCycP7,CVgwMrWo9chKEuEPCe6Za9KJe8jamnAcoeWzaMeNubr6,0.675072,0.661475,0.0031482,1085,318,766,0.0076743,0.0027834,0.0104488,2075,21466,1.01,22038375,20
Valor Node Capital,8uYxWYaRz9a3WPvE2LEgEp6sSfTCTRnRx54yKxdRGgsL,6tpuCGuvAZyUwQPFLKmiUfGUKSBjk3yVHJ314cfJV4ZF,0.66134605,0.64683875,0.0001505,1248,475,773,0.0110365,0.0033316,0.0143568,2155,48978,2.043,36526858,8
SteakStache,sT34kbaqmHWbPwjhyeG1GnjoX82KpXawFsnzUkzJpYX,5t4shVsKnUqgjmhK3fFNsvyju2E6Rd7cc4S5pmqqEVEW,0.6514892909090909,0.621636590909091,0.002169,1330,591,738,0.0241725,0.0035215,0.0276837,1951,9333,1.092,40266890,44
Princeton Blockchain,ksQuu3JAStVXUeDCHeW6QtVRHNMcdtgPyepUd3Yshrk,5LNEDitSMhApT2uFnmtN7FmjCiGuatpnb2uU4f3shrk,0.6509399166666666,0.6284454166666666,0.0019142,1369,599,769,0.0170139,0.003579,0.0205803,1972,8993,1.511,40171067,24
Ivy Oracle,5eJQDSbgTZSEmH3zSWDEdAKgjavUUn9BkouCFNLz1x93,6c6RrC9TWNgiVXnbZ6hehNuhyh81pZK1yAj5w2nXZTwi,0.6438518333333334,0.6211308333333334,0.001711,1332,573,759,0.0174388,0.0035837,0.02101,1955,11189,1.109,38573983,36
Sol4Geeks,4GEEKSwzc242QKF1uzzodpFaxb4GShQEZhkZfeXd27Vi,4GEEKSwuiBHWTff9WaqrDcToZjbX6KYdyB4c578Zxse2,0.6300823,0.5423865,0.0140055,1200,443,756,0.0705678,0.0031331,0.0736903,1701,21293,1.023,29604635,20
"Moutai Validator 🚀 Performant, Secure and NO Fees",HdQ1Ap8wm6Mz65FaP8jMNBVfCDv5T9NdS8UTSvHmcotn,8nbE53mcKhy74HLiGZ1q5HRocwiCvgh49csSaHSdtukr,0.6261236333333333,0.4987508333333333,0.081188,1325,552,772,0.0427443,0.0034535,0.0461848,1565,7148,1.01,35084324,60
EONpool,eondcw2upjH14EuvBzmn6HfGEGo8t9hG9JbXtPj6cym,6dtVKjb6vRwNAekki2FXhKv8WTNzQ3xW6HWMCNWqtoDy,0.6174511,0.5965825,0.0002848,1387,620,767,0.0170082,0.0035869,0.0205838,1877,106583,1.09,39189891,4
CatScope Community Validator,F1Ue1sePSLeztVARpgtTGzRBjEA2YJgzk7Ror4w3jjz2,HLyBoQdXsCcCCXgPMcT6QN64V9zEe43zi4BDoYCramJ3,0.6029641727272728,0.5003972727272727,0.0015012,1304,504,800,0.0976446,0.0034335,0.1010657,1570,9749,1.011,31489780,44
Vandal,vnd1jskPHR2gfMtgTtq6xCwANrAiNbQTKgVBAJHnMke,vnd1Ps8w3fsi54qUMJxBhUWARES34Qw7JQXDZxvbysd,0.59605565,0.53934625,0.0028216,1402,632,770,0.0501769,0.0037244,0.0538878,1694,13161,1.044,38543832,32
MeshMap,41HgiTYQ3qDWFW8jSDkecH2mEHUqZsmwFGDPndtmyLDR,AWZhUiQjrjtxL8MEMWsCFbMausFQKkdTnDsFW2i411hN,0.5931910285714286,0.5750914285714286,0.0030006,1322,579,742,0.0116374,0.0034706,0.015099,1810,15326,1.012,39600226,28
Validators.link,VALiDsfZKafvvQM5CMHhJd6PeVx9UpeDEC4Zk3WYikz,VALiDcyCpujxjJAZDK2av2TpMAigpSodzj2ApqgR4e6,0.5878421333333332,0.5051853333333333,0.0372191,1460,696,763,0.0415691,0.0038821,0.0454377,1587,1905,1.548,39316871,120
ABREU Foundation,ABREUtpzkkMiPHrBebpsYDU3mubtSohjDKZbyRoTJLae,ABREU5YkQcfpDZymoQ97iGUgQcfgjctWUUxEMfumiPdV,0.5864265,0.563861,0.001263,1256,568,687,0.0179984,0.0033148,0.0213025,1769,9491,1.248,35037384,40
Solana Japan Validator🇯🇵,76DafWkJ6pGK2hoD41HjrM4xTBhfKqrDYDazv13n5ir1,5zuNci3TV79w6zLoJZzbZujMvkVZb2FcSPhgv9aT24AK,0.5819035727272728,0.5531922727272728,0.0085773,1358,611,746,0.0165863,0.0035598,0.020134,1745,9443,1.06,38079163,44
DePitch Academy,P1TCHYwYPsNaNUK6fGkZzwXPjnYAMYRnUUv4c1TREee,pitch9cMruwjDtAnisNS4mwZUPhMsBztNEGu2weMg55,0.5746699,0.529142,0.009425,1324,557,767,0.0326141,0.0034999,0.0361029,1661,21403,1.015,37043336,20
