Name;Vote Account;Identity;REV;Inflation;MEV;Tx;User Tx;Vote Tx;Pri Fees;Sig Fees;Rewards;Stake;Votes;Latency;CU;Leader Slots;actual_stake_sol;stake_rank;mev_rank;rev_rank;inflation_pct;sig_fees_pct;priority_fees_pct;mev_pct;rev_pct;is_top10_stake;is_top20_stake;is_top50_stake;is_top10_mev;is_top20_mev;is_top50_mev;is_top10_rev;is_top20_rev;is_top50_rev
LI.FI;LiFiDDUsf6GCRHwkHzW4YnR1QErj99MAU9diwb8TvWk;LiFiDJwJjW98MB8wxcnXpafKYsuz1hwpUkuszkERiX6;1.3858471499999998;1.37157125;0.0022833;1211.0;444.0;767.0;0.0088538;0.0031503;0.0119926;4310.0;53573.0;1.013;30312982.0;8.0;34480;702;568;1;100.0;4.47;1.05;25.39;100.0;0;0;0;0;0;0;1;1;1
Superteam Brazil;STBRgoYTmMwukhcBVjGpg3A4R9HBsrWo82wJgiBukaW;BRAZAtTTzR2Es8c98hJvcngerTEyRGSdgkHU59n4A6GT;1.376964;1.3457725;0.0007305;1294.0;563.0;731.0;0.0269885;0.0034819;0.030461;4224.0;101585.0;1.13;35948295.0;4.0;16896;745;720;2;99.87;70.39;81.32;5.39;99.87;0;0;0;0;0;0;1;1;1
Custodian 💼 0% fees +MEV!;5ni6KoVM62cRJNfFFKGdiyDfYbKWWAGZ21cfGZcj1y66;CuStTdKU5nWev5YKxMHyFjiHYG2CnjZ3rrPa8r1G2hTw;1.2658337;1.2585175;0.0;1121.0;338.0;783.0;0.0043762;0.0029512;0.0073162;3949.0;107126.0;1.013;21515008.0;4.0;15796;749;737;3;99.74;2.24;0.13;0.0;99.74;0;0;0;0;0;0;1;1;1
DAIN;AEtdq4CwtuktCEUWLLpRTNPBZs6tr7BBqxkHJ1DjAttR;3iQqh65Gby53aaYUF8ocoiEyhBs4aoe7BTYYWvy1c9dF;0.9736783;0.9557575;0.0007504;1351.0;570.0;781.0;0.0136904;0.0034919;0.0171704;2999.0;106403.0;1.023;31031061.0;4.0;11996;754;719;4;99.61;74.61;8.16;5.53;99.61;0;0;0;0;0;0;1;1;1
Majestysol | 🔥 0% Fee + ⚡ MEV;5AC692spnjbegP7ttCXJEzUe8S81sLYsqJd8Ae6Zv1xU;AS4i8EXUZnPbmNT5ZXmoTEbrXQrbFoReiWwwFB43Ds5z;0.9463733;0.938885;2.9e-06;1017.0;245.0;772.0;0.0048341;0.0026588;0.0074854;2946.0;107127.0;1.013;16984153.0;4.0;11784;755;736;5;99.47;0.79;0.26;3.29;99.47;0;0;0;0;0;0;1;1;1
Serhio911;FXcZJuQwkcQpw2YrkTaxWJ6rnw4P12wvULttviMRn655;DiFeTctQSaNczJNmZ5121kYqLaBe9wDpM9sjCzTELJLE;0.8327268;0.8136575;0.0;1213.0;492.0;721.0;0.015884;0.0031958;0.0190693;2553.0;26317.0;1.04;32819213.0;16.0;40848;691;738;6;99.34;5.92;18.42;0.0;99.34;0;0;0;0;0;0;1;1;1
EAC;Gar9q7Ru2sKfVxFnR5xmV8GieJeUSTp7Uf3ixai9BQKS;2bpfa8JbFfZUGUsedDsemu6vQUxbhcEM8ALSH3PgXd2d;0.7984012;0.773305;6.5e-06;1473.0;697.0;775.0;0.0212743;0.0038269;0.0250897;2427.0;35488.0;1.022;44720610.0;12.0;29124;715;735;7;99.21;98.82;54.61;3.42;99.21;0;0;0;0;0;0;1;1;1
Quantum Crypto;QUANT7qKUEW4PS4eP9jq4K35rDHpgWkWcgjbW1CwnGJ;Atom7LRkdXj6MBoWJPgjaetrCMrgB9nnkQBYXTWE8Z3S;0.7868733000000001;0.7639575000000001;0.0017472;1183.0;416.0;767.0;0.0179859;0.0031952;0.0211686;2398.0;35732.0;1.012;25554338.0;12.0;28776;718;644;8;99.08;5.66;30.92;15.39;99.08;0;0;0;0;0;0;1;1;1
;reyYoUdFgtDLxAWW1hyn5xk2PHstA3j8zUrerQi9Ayq;ark1hdnnfmusE24wGHkyVG1gdRCqfmXs9drasDAdABZ;0.77252115;0.74961625;0.0030405;1438.0;648.0;789.0;0.016111;0.0037684;0.0198644;2352.0;26791.0;1.012;36562047.0;16.0;37632;697;498;9;98.95;98.29;18.95;34.61;98.95;0;0;0;0;0;0;1;1;1
UZB Validator;QodirbUG8AZQBWpHhPJPfjj1xg4AaQUZCVVtwT8YfPi;UZBmptMjMSQEPKm4WyUkJeAuvZSqTuNK3cQCKFqJcXT;0.6883889666666667;0.6629866666666667;3.22e-05;1369.0;592.0;777.0;0.0217945;0.0035906;0.0253701;2080.0;18072.0;1.509;39135386.0;12.0;24960;725;733;10;98.82;91.18;57.5;3.68;98.82;0;0;0;0;0;0;1;1;1
SelfLiquidity;F1wBgGku883aGGCQYMQFR4PmdJ7faej3qKSk8xGCycP7;CVgwMrWo9chKEuEPCe6Za9KJe8jamnAcoeWzaMeNubr6;0.675072;0.661475;0.0031482;1085.0;318.0;766.0;0.0076743;0.0027834;0.0104488;2075.0;21466.0;1.01;22038375.0;20.0;41500;689;486;11;98.69;1.71;0.66;36.18;98.69;0;0;0;0;0;0;0;1;1
Valor Node Capital;8uYxWYaRz9a3WPvE2LEgEp6sSfTCTRnRx54yKxdRGgsL;6tpuCGuvAZyUwQPFLKmiUfGUKSBjk3yVHJ314cfJV4ZF;0.66134605;0.64683875;0.0001505;1248.0;475.0;773.0;0.0110365;0.0033316;0.0143568;2155.0;48978.0;2.043;36526858.0;8.0;17240;743;729;12;98.55;19.87;3.03;4.21;98.55;0;0;0;0;0;0;0;1;1
SteakStache;sT34kbaqmHWbPwjhyeG1GnjoX82KpXawFsnzUkzJpYX;5t4shVsKnUqgjmhK3fFNsvyju2E6Rd7cc4S5pmqqEVEW;0.6514892909090909;0.621636590909091;0.002169;1330.0;591.0;738.0;0.0241725;0.0035215;0.0276837;1951.0;9333.0;1.092;40266890.0;44.0;85844;523;582;13;98.29;80.92;71.71;23.55;98.42;0;0;0;0;0;0;0;1;1
Princeton Blockchain;ksQuu3JAStVXUeDCHeW6QtVRHNMcdtgPyepUd3Yshrk;5LNEDitSMhApT2uFnmtN7FmjCiGuatpnb2uU4f3shrk;0.6509399166666666;0.6284454166666666;0.0019142;1369.0;599.0;769.0;0.0170139;0.003579;0.0205803;1972.0;8993.0;1.511;40171067.0;24.0;47328;675;620;14;98.42;89.74;25.39;18.55;98.29;0;0;0;0;0;0;0;1;1
Ivy Oracle;5eJQDSbgTZSEmH3zSWDEdAKgjavUUn9BkouCFNLz1x93;6c6RrC9TWNgiVXnbZ6hehNuhyh81pZK1yAj5w2nXZTwi;0.6438518333333334;0.6211308333333334;0.001711;1332.0;573.0;759.0;0.0174388;0.0035837;0.02101;1955.0;11189.0;1.109;38573983.0;36.0;70380;575;654;15;98.16;90.26;28.03;14.08;98.16;0;0;0;0;0;0;0;1;1
Sol4Geeks;4GEEKSwzc242QKF1uzzodpFaxb4GShQEZhkZfeXd27Vi;4GEEKSwuiBHWTff9WaqrDcToZjbX6KYdyB4c578Zxse2;0.6300823;0.5423865;0.0140055;1200.0;443.0;756.0;0.0705678;0.0031331;0.0736903;1701.0;21293.0;1.023;29604635.0;20.0;34020;704;52;16;97.5;3.95;99.34;93.29;98.03;0;0;0;0;0;0;0;1;1
Moutai Validator 🚀 Performant, Secure and NO Fees;HdQ1Ap8wm6Mz65FaP8jMNBVfCDv5T9NdS8UTSvHmcotn;8nbE53mcKhy74HLiGZ1q5HRocwiCvgh49csSaHSdtukr;0.6261236333333333;0.4987508333333333;0.081188;1325.0;552.0;772.0;0.0427443;0.0034535;0.0461848;1565.0;7148.0;1.01;35084324.0;60.0;93900;505;1;17;96.32;59.21;97.11;100.0;97.9;0;0;0;1;1;1;0;1;1
EONpool;eondcw2upjH14EuvBzmn6HfGEGo8t9hG9JbXtPj6cym;6dtVKjb6vRwNAekki2FXhKv8WTNzQ3xW6HWMCNWqtoDy;0.6174511;0.5965825;0.0002848;1387.0;620.0;767.0;0.0170082;0.0035869;0.0205838;1877.0;106583.0;1.09;39189891.0;4.0;7508;759;726;18;98.03;90.53;25.26;4.61;97.77;0;0;0;0;0;0;0;1;1
CatScope Community Validator;F1Ue1sePSLeztVARpgtTGzRBjEA2YJgzk7Ror4w3jjz2;HLyBoQdXsCcCCXgPMcT6QN64V9zEe43zi4BDoYCramJ3;0.6029641727272728;0.5003972727272727;0.0015012;1304.0;504.0;800.0;0.0976446;0.0034335;0.1010657;1570.0;9749.0;1.011;31489780.0;44.0;69080;579;680;19;96.45;50.66;99.74;10.66;97.63;0;0;0;0;0;0;0;1;1
Vandal;vnd1jskPHR2gfMtgTtq6xCwANrAiNbQTKgVBAJHnMke;vnd1Ps8w3fsi54qUMJxBhUWARES34Qw7JQXDZxvbysd;0.59605565;0.53934625;0.0028216;1402.0;632.0;770.0;0.0501769;0.0037244;0.0538878;1694.0;13161.0;1.044;38543832.0;32.0;54208;646;519;20;97.37;98.03;98.16;31.84;97.5;0;0;0;0;0;0;0;1;1
MeshMap;41HgiTYQ3qDWFW8jSDkecH2mEHUqZsmwFGDPndtmyLDR;AWZhUiQjrjtxL8MEMWsCFbMausFQKkdTnDsFW2i411hN;0.5931910285714286;0.5750914285714286;0.0030006;1322.0;579.0;742.0;0.0116374;0.0034706;0.015099;1810.0;15326.0;1.012;39600226.0;28.0;50680;659;501;21;97.9;66.18;3.55;34.21;97.37;0;0;0;0;0;0;0;0;1
Validators.link;VALiDsfZKafvvQM5CMHhJd6PeVx9UpeDEC4Zk3WYikz;VALiDcyCpujxjJAZDK2av2TpMAigpSodzj2ApqgR4e6;0.5878421333333332;0.5051853333333333;0.0372191;1460.0;696.0;763.0;0.0415691;0.0038821;0.0454377;1587.0;1905.0;1.548;39316871.0;120.0;190440;321;4;22;96.58;98.95;96.71;99.61;97.24;0;0;0;1;1;1;0;0;1
ABREU Foundation;ABREUtpzkkMiPHrBebpsYDU3mubtSohjDKZbyRoTJLae;ABREU5YkQcfpDZymoQ97iGUgQcfgjctWUUxEMfumiPdV;0.5864265;0.563861;0.001263;1256.0;568.0;687.0;0.0179984;0.0033148;0.0213025;1769.0;9491.0;1.248;35037384.0;40.0;70760;571;702;23;97.77;17.24;31.05;7.76;97.11;0;0;0;0;0;0;0;0;1
Solana Japan Validator🇯🇵;76DafWkJ6pGK2hoD41HjrM4xTBhfKqrDYDazv13n5ir1;5zuNci3TV79w6zLoJZzbZujMvkVZb2FcSPhgv9aT24AK;0.5819035727272728;0.5531922727272728;0.0085773;1358.0;611.0;746.0;0.0165863;0.0035598;0.020134;1745.0;9443.0;1.06;38079163.0;44.0;76780;554;134;24;97.63;87.89;22.37;82.5;96.98;0;0;0;0;0;0;0;0;1
DePitch Academy;P1TCHYwYPsNaNUK6fGkZzwXPjnYAMYRnUUv4c1TREee;pitch9cMruwjDtAnisNS4mwZUPhMsBztNEGu2weMg55;0.5746699;0.529142;0.009425;1324.0;557.0;767.0;0.0326141;0.0034999;0.0361029;1661.0;21403.0;1.015;37043336.0;20.0;33220;707;111;25;97.24;76.84;91.18;85.53;96.85;0;0;0;0;0;0;0;0;1
Flipside;DMPhNJFSvi34NmfcqR4B5rdKgDYY3kZbXpdXJBL4cJ1q;ACTGYsH7bHbaSP7z9N86oLPHBThAELbGfTboc1VoFeZz;0.5488401125;0.4670628125;0.0235222;1292.0;525.0;767.0;0.054772;0.0034948;0.0582551;1466.0;12873.0;1.063;34449201.0;32.0;46912;678;11;26;94.09;75.53;98.55;98.68;96.71;0;0;0;0;1;1;0;0;1
Solana ID;SoLiDDVm88uWUMk2rQpG7B9wC55a6xveYEz3JnS6tzC;SoLiDJGk4WkdinyLiRWjkFbgLUhjL3idGJK8H1rUWqH;0.5479244000000001;0.528815;0.0027268;1309.0;536.0;773.0;0.0129395;0.0034538;0.0163826;1659.0;17588.0;1.036;33817465.0;24.0;39816;693;531;27;97.11;59.61;6.45;30.26;96.58;0;0;0;0;0;0;0;0;1
KitBull ✅ MEV Rewards;BLX5PkLh7GsHaqCpLDxiW3UjxfT2GMyteVAhRZBYhCts;pitMDEaMmWmr7qP8HsNqarPQkd3jhZbLJibhhQnL5RG;0.5427083714285714;0.5246385714285714;0.0026158;1275.0;513.0;761.0;0.0121275;0.0033364;0.015454;1672.0;15314.0;1.013;33620485.0;28.0;46816;679;537;28;96.98;20.66;4.74;29.47;96.45;0;0;0;0;0;0;0;0;1
DataHive AI;2ve7kgjvaDZhMPq2nXhvGLno8sPJ8BAEdCvza384PyC8;7CR6whiYULVf1Knj4J5PxUS37opdk8UAx2WnDzBQKiVe;0.540389;0.519024;0.0020422;1225.0;450.0;774.0;0.0161395;0.0031976;0.0193228;1628.0;21440.0;1.013;29525052.0;20.0;32560;708;599;29;96.85;6.05;19.08;21.32;96.32;0;0;0;0;0;0;0;0;1
Cloak;CarbnAxSfvsBdp6otKtoUa8XmUaX9PcsGq6R2WqZMuw2;CARBN9PY1Qej1aCg4885pfoYH8EHfjWuMy59pVa48ky;0.532453425;0.497215625;0.008298;1330.0;561.0;769.0;0.0234756;0.0034752;0.0269398;1560.0;13214.0;1.035;34179800.0;32.0;49920;660;140;30;96.19;67.89;68.55;81.71;96.19;0;0;0;0;0;0;0;0;1
Project Super;EfnywDKqArxK6N6FS9ctsuzNdxfx3pzfXEQE5EevQ1SV;E99w1XfS4UNM1xUKXWEuDmj8Mduy7u65jm2NCULTspSV;0.5295371529411765;0.5079573529411765;0.0017198;1311.0;561.0;750.0;0.016432;0.0034397;0.01986;1594.0;6174.0;1.048;34857204.0;68.0;108392;465;651;31;96.71;53.82;21.18;14.47;96.06;0;0;0;0;0;0;0;0;1
Project 0 Meridian;mrgn4t2JabSgvGnrCaHXMvz8ocr4F52scsxJnkQMQsQ;mrgn4sJJu5GBa5wbKyjuASzhyCifvcedGoLtpKjB3Wf;0.5210989874999999;0.4855571875;0.0030729;1319.0;568.0;751.0;0.0289286;0.003552;0.0324689;1538.0;13386.0;1.014;36087700.0;32.0;49216;663;492;32;95.66;87.37;85.26;35.39;95.93;0;0;0;0;0;0;0;0;1
Fast Runner;Azc2uttGtHsRLorfQzd7tsMNtfaEg7LyvVEMVtckPCNN;6qwYjs5vCSEKaTMBbHinnW8fvdGj1r8cpzPoAV1EHKsw;0.51843115;0.49408175;0.0055317;1293.0;540.0;752.0;0.0154622;0.0033663;0.0188177;1550.0;10740.0;1.009;35596054.0;40.0;62000;615;269;33;96.06;28.29;15.92;64.74;95.8;0;0;0;0;0;0;0;0;1
Solarius☀️;9FZWpUMfXZ3993g2BfqSFg7xcx9iUCxQwKeYzr2WQCM1;BuonuQoAR74GoMwCFhxKWVWWSGGt2wfbNmQ3cizaJ97G;0.5159745818181818;0.4894006818181818;0.0049297;1310.0;524.0;785.0;0.0181927;0.0034632;0.0216442;1544.0;9756.0;1.011;33267943.0;44.0;67936;584;312;34;95.8;64.21;32.89;59.08;95.66;0;0;0;0;0;0;0;0;1
NeuralNode;5cYwwC8dmQ2tvtjDueHrU2B6NvmTHmoimsNGeGXVbkP8;9T6SNsBimjCRJpkEjiVsc8AcxTBa1XVA7RjnBGGfWP23;0.5145179545454546;0.4753129545454545;0.0150144;1381.0;607.0;773.0;0.0205378;0.0036663;0.0241906;1491.0;9744.0;1.014;37431138.0;44.0;65604;595;47;35;95.14;95.53;49.61;93.95;95.53;0;0;0;0;0;1;0;0;1
STEVE;STevE9xVb1QfBHU4GgEn28r9oikAf5yxKJddF7fufwb;sTEVErNNwF2qPnV6DuNPkWpEyCt4UU6k2Y3Hyn7WUFu;0.5135193181818182;0.45011431818181813;0.0188884;1428.0;662.0;765.0;0.0407535;0.0037747;0.0445166;1412.0;9741.0;1.012;41540615.0;44.0;62128;613;24;36;92.64;98.42;96.45;96.97;95.4;0;0;0;0;0;1;0;0;1
Choplet Studios;chopjqMvdGWRcrcuC1r8LmAzz9obXi1gSYPYM6zimWa;chopskqnudaeCTENWzUjfFCBSLcxprqbdMoCAucAwfb;0.5106431666666666;0.4741316666666667;0.0056473;1434.0;660.0;773.0;0.0269931;0.0038829;0.0308642;1488.0;35665.0;1.016;43945919.0;12.0;17856;740;262;37;94.88;99.08;81.45;65.66;95.27;0;0;0;0;0;0;0;0;1
NeNa 🌻;5RCD4pZcKH3NHN4XHxvsnVAawSaConLgsZbreSN5dXpZ;2dxz129YxB1xtf7Mx6HUT5JspexArNNtQt84FYueWZV7;0.5068501357142857;0.4709105357142857;0.0052149;1333.0;572.0;761.0;0.0272015;0.0035354;0.0307247;1477.0;7585.0;1.026;38241808.0;56.0;82712;533;295;38;94.61;83.95;81.97;61.32;95.14;0;0;0;0;0;0;0;0;1
;ASifxiwxht8FvsiV3VcLngsCBMw4E6zw3QMWoJTbM4Uf;mds3Df1ieBonG2qS8ZoKTqshq5MgTUNfZgc78cjiCdq;0.506296388888889;0.4910813888888889;0.0;1295.0;548.0;746.0;0.0118196;0.0034065;0.015215;1541.0;11003.0;1.123;33276615.0;36.0;55476;644;739;39;95.93;40.39;3.95;0.0;95.01;0;0;0;0;0;0;0;0;1
